"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ShopByBrand.jsx", "JavaScript JSX", 70, 0, 0, 1, 9, 80
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ShopByCategory.css", "CSS", 0, 119, 0, 1, 22, 142
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ShopByCategory.jsx", "JavaScript JSX", 96, 0, 0, 1, 14, 111
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ShowOffers.css", "CSS", 0, 121, 0, 0, 15, 136
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ShowOffers.jsx", "JavaScript JSX", 74, 0, 0, 0, 12, 86
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\Slides.js", "JavaScript", 0, 0, 24, 0, 2, 26
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\SubCategory.css", "CSS", 0, 37, 0, 0, 5, 42
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\SubCategory.jsx", "JavaScript JSX", 549, 0, 0, 16, 69, 634
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\TermsConditions.css", "CSS", 0, 7, 0, 0, 1, 8
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\TermsConditions.jsx", "JavaScript JSX", 23, 0, 0, 0, 4, 27
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ViewOrder.css", "CSS", 0, 230, 0, 4, 42, 276
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\ViewOrder.jsx", "JavaScript JSX", 389, 0, 0, 3, 58, 450
"d:\Sem-8\Grocery_Shop_Fronted\src\Components\demo.jsx", "JavaScript JSX", 6, 0, 0, 0, 2, 8
"Total", "-", 11313, 5002, 24, 468, 2310, 19117
